,pv
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.1634722222222222
8,1.7305555555555556
9,3.513888888888889
10,4.986111111111111
11,5.923611111111111
12,6.048611111111111
13,5.451388888888889
14,4.236111111111111
15,2.5375
16,0.5960416666666667
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.1473611111111111
32,1.26875
33,3.1215277777777777
34,3.1041666666666665
35,3.3541666666666665
36,3.4930555555555554
37,3.047222222222222
38,1.4034722222222222
39,1.4180555555555556
40,0.27131944444444445
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.03098611111111111
56,0.7868055555555555
57,1.0180555555555555
58,1.9847222222222223
59,2.7416666666666667
60,2.001388888888889
61,1.4104166666666667
62,1.4854166666666666
63,0.9527777777777777
64,0.15813888888888888
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.019083333333333334
80,0.18777777777777777
81,0.22666666666666666
82,0.35208333333333336
83,0.5340277777777778
84,0.5673611111111111
85,0.49583333333333335
86,0.38125
87,0.22041666666666668
88,0.0876736111111111
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.036187500000000004
104,0.21097222222222223
105,0.6916666666666667
106,0.5777777777777777
107,0.7597222222222222
108,0.6833333333333333
109,0.7076388888888889
110,0.49444444444444446
111,0.34756944444444443
112,0.15541666666666668
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.06235416666666666
128,0.354375
129,0.7847222222222222
130,0.9763888888888889
131,2.8243055555555556
132,4.979166666666667
133,4.715277777777778
134,3.6805555555555554
135,3.0347222222222223
136,1.2375
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.03916666666666667
152,0.2615277777777778
153,0.5944444444444444
154,0.9402777777777778
155,1.2444444444444445
156,1.2875
157,0.9513888888888888
158,0.8506944444444444
159,0.53125
160,0.17097222222222222
161,0.0018333333333333333
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.058402777777777776
176,0.35993055555555553
177,0.9201388888888888
178,2.3833333333333333
179,1.1972222222222222
180,1.0479166666666666
181,0.76875
182,1.3597222222222223
183,1.5256944444444445
184,0.5472222222222223
185,0.01611111111111111
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.06091666666666667
200,1.0409722222222222
201,2.8569444444444443
202,2.095833333333333
203,1.8527777777777779
204,3.486111111111111
205,1.7402777777777778
206,2.729861111111111
207,0.6652777777777777
208,0.1314375
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.14020833333333332
224,0.9027777777777778
225,1.3340277777777778
226,2.7868055555555555
227,3.6319444444444446
228,2.428472222222222
229,1.9229166666666666
230,1.226388888888889
231,0.6458333333333334
232,0.14083333333333334
233,0.004868055555555555
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0703125
248,0.41215277777777776
249,0.5416666666666666
250,2.392361111111111
251,5.708333333333333
252,5.888888888888889
253,5.1875
254,3.2708333333333335
255,1.44375
256,0.5134722222222222
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.13444444444444445
272,1.3131944444444446
273,3.160416666666667
274,4.611111111111111
275,5.0
276,6.1875
277,5.638888888888889
278,4.479166666666667
279,2.8569444444444443
280,0.88125
281,0.009236111111111112
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.19770833333333335
296,1.5006944444444446
297,3.2576388888888888
298,4.493055555555555
299,5.5
300,5.361111111111111
301,4.416666666666667
302,1.4409722222222223
303,1.3180555555555555
304,0.9236111111111112
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.21305555555555555
320,0.3888888888888889
321,1.00625
322,2.0520833333333335
323,3.504861111111111
324,6.194444444444445
325,4.798611111111111
326,3.411111111111111
327,0.6673611111111111
328,0.325
329,0.04784722222222222
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.11138888888888888
344,1.292361111111111
345,3.1118055555555557
346,4.555555555555555
347,5.423611111111111
348,5.666666666666667
349,5.131944444444445
350,4.027777777777778
351,2.41875
352,0.6327083333333333
353,0.009652777777777777
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.30951388888888887
368,2.1631944444444446
369,4.138888888888889
370,5.618055555555555
371,6.520833333333333
372,6.798611111111111
373,6.298611111111111
374,5.125
375,3.3965277777777776
376,1.2930555555555556
377,0.04722222222222222
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.2501388888888889
392,2.0236111111111112
393,3.986111111111111
394,5.506944444444445
395,6.354166666666667
396,6.479166666666667
397,5.972222222222222
398,4.791666666666667
399,3.1958333333333333
400,1.1909722222222223
401,0.036319444444444446
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.2951388888888889
416,2.0861111111111112
417,3.9791666666666665
418,5.5
419,6.423611111111111
420,6.645833333333333
421,6.166666666666667
422,5.020833333333333
423,3.3361111111111112
424,1.3125
425,0.058472222222222224
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
